Model,Fold,Val RMSE,Val MAE,Val MSE,Val R2,Train RMSE,Train MAE,Train MSE,Train R2
KNN,1,1.7578983842260227,1.1202347417840346,3.0902067292644615,0.8534933621418149,1.2077658348120708,0.7257714958775002,1.458698311739298,0.958808255608406
KNN,2,1.770632628780827,1.1596244131455349,3.1351399061033014,0.9066613619974487,1.1129487003361382,0.6775265017667853,1.2386548095798993,0.9616080095907596
KNN,3,1.5415488217870548,0.9168075117370864,2.376372769953057,0.9501173374078844,1.1212778760783646,0.670294464075383,1.2572640753828086,0.9564090513103485
KNN,4,1.7413096990250256,1.180328638497656,3.0321594679186252,0.8720554279894646,1.1097914149460109,0.6723674911660756,1.231636984687869,0.9647312648977813
KNN,5,1.8004410835231714,1.1221428571428533,3.2415880952380918,0.909558657253027,1.139830846385752,0.6681103286384965,1.2992143583724598,0.9591756663087457
SVR,1,1.71414936494203,0.9139494839362767,2.938308045331165,0.860694875641673,1.616139546880808,0.8954610317124181,2.6119070349921034,0.926243140137925
SVR,2,1.6723779881303564,0.9737291084628159,2.796848135182939,0.9167329039671414,1.6108509525919144,0.8751781521106092,2.594840791466278,0.9195731514470393
SVR,3,1.6326241663197123,0.9271088605778475,2.665461668451136,0.9440490453599197,1.5978687774017044,0.8848319749432706,2.5531846297952177,0.9114778332000593
SVR,4,1.4588633032525753,0.8120380032182734,2.1282821375770156,0.9101953079674678,1.673778266342329,0.9151428328168758,2.801533684879933,0.9197762403692242
SVR,5,1.7832079872888802,1.050814922448726,3.179830725930859,0.9112817075729833,1.578171114875133,0.8564190918761627,2.49062406782622,0.921738805156233
DT,1,1.043144622871325,0.6384507042253543,1.088150704225359,0.9484107973588487,0.0,0.0,0.0,1.0
DT,2,0.7918128602351696,0.4621126760563389,0.6269676056338003,0.9813340698870708,0.0,0.0,0.0,1.0
DT,3,0.5594086414858218,0.3769014084507033,0.3129380281690127,0.9934310886453621,0.0,0.0,0.0,1.0
DT,4,0.9727071270066762,0.5435211267605631,0.9461591549295821,0.96007600213243,0.0,0.0,0.0,1.0
DT,5,1.1887880983830332,0.6877142857142872,1.4132171428571483,0.9605707905391189,0.0,0.0,0.0,1.0
RF,1,0.5993292000522193,0.39613873239442166,0.35919549003523316,0.9829705491608288,0.20681200739413802,0.1235373674912239,0.042771206402393,0.9987921967227433
RF,2,0.6886158218269939,0.4074056338028367,0.4741917500704662,0.9858824762437364,0.21947956584060857,0.1350591401649124,0.048171279821582036,0.9985069356703679
RF,3,0.480051369766261,0.3111869718310193,0.23044931761446344,0.9951626168669773,0.2092727849490193,0.12857473498233668,0.04379509852031847,0.9984815680891255
RF,4,0.8231201853356761,0.41133239436616553,0.6775268395070378,0.9714111733160649,0.20376932596844,0.125353886925792,0.04152193820563235,0.9988109919905691
RF,5,0.6118641682829792,0.4023471428571213,0.3743777604286219,0.9895547409624595,0.2182820801333845,0.1295778638497805,0.04764706650735729,0.9985028184687379
XGB,1,0.5627877131550949,0.33785845689370686,0.3167300100783414,0.98498383669742,0.0017138410378464194,0.0011596377746796419,2.937251103006492e-06,0.9999999170558466
XGB,2,0.700679186430159,0.3283005405479739,0.4909513222964296,0.9853835142541832,0.0014636301789613495,0.0010514524210476714,2.142213300766432e-06,0.9999999336022983
XGB,3,0.427658060174303,0.263690495020906,0.1828914164320478,0.9961609092090993,0.001458004358422462,0.0009703511484109384,2.125776709178895e-06,0.9999999262966108
XGB,4,0.6738191761611666,0.3655045458296633,0.45403228216251323,0.9808417180445576,0.0014618764813625308,0.0010001915166743416,2.1370828467608936e-06,0.9999999388032271
XGB,5,0.6724724863879536,0.4234798758370549,0.4522192449487965,0.9873829386931446,0.002000127529357641,0.0013339663223466542,4.0005101336943005e-06,0.999999874294677
